mean,median,std,min,max,range,p25,p75,p90,cv,iqr
38.92821,25.955475,39.26883,0.07679919,584.2194,584.14264,7.2116375,62.737617,89.794914,1.00875,55.525978
44.562614,39.710945,30.140144,0.07459936,426.1626,426.088,23.039051,60.99569,83.44269,0.67635494,37.95664
58.14667,56.28534,29.895126,0.28580132,464.67572,464.38992,36.783546,75.793625,93.466446,0.51413304,39.01008
51.797955,51.4206,21.735151,0.28474647,302.2808,301.99603,37.335434,64.98502,78.15093,0.41961408,27.64959
32.96749,15.180423,40.819057,0.0736857,612.7406,612.66693,2.2134428,55.269512,86.00011,1.2381608,53.05607
33.29369,30.196419,24.732449,0.042689476,328.13922,328.09653,12.409201,49.240955,66.01531,0.7428569,36.831757
73.41931,69.796936,40.393658,0.11083039,540.4205,540.30963,50.089684,90.65739,118.87368,0.5501776,40.567703
45.95492,39.953606,32.245552,0.10787321,523.2287,523.12085,22.346169,63.64343,83.08518,0.70167786,41.29726
31.914501,18.481115,33.521103,0.07056394,525.58545,525.5149,8.216722,48.951584,75.88454,1.0503408,40.734863
38.747467,23.341902,45.031696,0.07077973,711.34076,711.26996,2.3128605,66.19845,93.45541,1.1621842,63.88559
53.895344,53.444214,29.9332,0.09293639,562.19855,562.1056,32.469406,72.21735,90.29323,0.55539495,39.74794
30.204987,12.892836,47.548237,0.020457873,1860.4144,1860.3939,1.8295692,44.97017,76.59915,1.574185,43.1406
49.547615,43.50301,34.987286,0.081534274,845.8563,845.7748,24.207144,67.37645,89.58179,0.7061346,43.169304
62.62283,65.15291,49.147297,0.023328045,562.3668,562.3435,11.573278,91.63208,123.17035,0.78481436,80.0588
42.656944,31.255566,44.50584,0.00084828597,833.4785,833.47766,5.2484984,68.326294,97.64863,1.0433434,63.077797
45.41254,41.00621,27.490822,0.08149111,719.6092,719.5277,26.003036,60.679085,81.27915,0.60535747,34.67605
44.657345,38.825626,30.722197,0.10787321,520.4719,520.3641,21.739162,62.340538,81.36841,0.68795395,40.601376
74.51352,68.82969,39.663097,0.5091526,816.0069,815.49774,49.739773,90.58601,120.01446,0.532294,40.84624
49.360428,33.31146,56.17194,0.008870298,1298.0557,1298.0468,3.2368288,78.59112,116.063225,1.1379954,75.35429
62.374058,60.747574,31.102129,0.13859352,420.99887,420.8603,42.049824,78.731636,99.56017,0.49863887,36.681812
66.384384,65.27907,27.885513,0.29045194,449.06604,448.77557,49.311188,79.97784,96.26963,0.42006135,30.666649
70.832794,68.12312,35.68927,0.071008906,623.65186,623.5809,49.103447,87.384315,111.86641,0.50385237,38.28087
41.377964,38.746494,31.980545,0.05853393,374.586,374.52747,11.23977,66.62276,83.37893,0.7728883,55.382988
49.022068,48.428932,22.770119,0.24163799,302.2808,302.03915,33.055496,63.202934,76.742485,0.4644871,30.147438
54.13825,52.79306,28.699995,0.1355269,562.19855,562.06305,33.45977,71.586876,89.43589,0.5301242,38.127106
34.70036,18.660397,41.242584,0.0736857,612.7406,612.66693,2.3775723,57.729935,87.5184,1.1885347,55.352364
60.514606,60.23082,30.184679,0.21139456,384.15564,383.94424,38.889812,78.38376,96.07176,0.4987999,39.493946
74.361916,71.0435,38.959583,0.07250607,816.0069,815.9344,51.249756,90.51249,116.28834,0.5239185,39.262733
62.856205,59.094265,43.114437,0.07077973,954.4063,954.3355,35.07,79.90983,104.87738,0.6859217,44.83983
47.858578,38.11945,47.543243,0.037017237,1015.1647,1015.1277,15.00943,67.29285,95.0959,0.9934111,52.283417
49.33987,48.57564,27.232744,0.13501063,360.2401,360.1051,28.042414,67.32204,82.366806,0.55194193,39.279625
