mean,median,std,min,max,p25,p75,p90,p10,range,cv,label,class
29.683964,20.702316,26.520288,0.07679919,89.99876,6.163308,50.92228,72.3654,2.309158,89.92196,0.8934214,1.0,Landslide
38.932823,37.14368,22.46679,0.07459936,89.99955,21.726002,55.26619,71.25734,8.776214,89.92495,0.5770655,1.0,Landslide
50.808117,51.816032,21.664278,0.28580132,89.99961,34.14687,68.41831,79.5851,20.55405,89.713806,0.42639405,1.0,Landslide
49.460247,50.34131,18.738281,0.28474647,89.99952,36.6478,63.085827,73.69394,23.56331,89.714775,0.37885538,1.0,Landslide
23.995468,10.25586,26.751463,0.0736857,89.99958,2.0313282,43.0001,69.37051,1.2005389,89.925896,1.1148548,1.0,Landslide
31.61427,29.35877,22.107904,0.042689476,89.997856,12.100835,47.874783,62.96486,4.064256,89.95517,0.6993015,1.0,Landslide
56.190994,60.504795,22.757463,0.11083039,89.999176,42.898132,73.98407,82.72144,19.874622,89.88834,0.40500197,1.0,Landslide
40.13981,36.973747,22.635296,0.10787321,89.99936,21.21777,58.33526,73.17442,11.881283,89.89149,0.5639114,1.0,Landslide
26.626295,16.834553,23.759125,0.07056394,89.99984,7.8130903,42.190132,66.263725,3.9266572,89.929276,0.89231807,1.0,Landslide
27.298517,14.831439,28.536015,0.07077973,89.99925,2.0625885,51.77723,73.44934,1.2122666,89.928474,1.0453321,1.0,Landslide
47.523586,49.731243,23.3045,0.09293639,89.99844,29.551893,65.999306,77.80106,12.876774,89.90551,0.49037758,1.0,Landslide
21.916542,10.938305,24.856705,0.020457873,89.999245,1.6463294,36.07624,65.0132,0.7142467,89.97879,1.1341527,1.0,Landslide
41.63646,39.51467,22.754147,0.081534274,89.99787,22.475613,59.37031,74.884766,12.961085,89.916336,0.54649574,1.0,Landslide
40.687115,45.71199,31.769928,0.023328045,89.99942,4.5258293,70.5878,81.47074,1.5568104,89.97609,0.7808351,1.0,Landslide
30.228302,22.214458,27.662865,0.00084828597,89.999275,3.923545,53.06276,73.66614,1.3354138,89.99843,0.9151313,1.0,Landslide
41.169838,39.18303,21.284266,0.08149111,89.99983,25.041744,56.081936,72.43236,14.153545,89.91834,0.51698685,1.0,Landslide
