Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Aspect,Soil_Clay,Soil_Sand,Landslide_Probability,Risk_Class
46.70025318766257,12.370473526391768,1615.0,23.0,4.5874996,17.7,-6.5,1169.0,147.0,29.7,161.0,17.0,41.0,0.4011391904474339,MITTEL
46.72475733759582,11.882005300940516,1232.0,36.0,6.979166,21.1,-4.6,849.0,122.0,41.7,76.0,12.0,44.0,0.5776808672695324,MITTEL
46.52610318791323,11.734756064414018,2698.0,68.0,2.0166667,14.1,-8.1,1026.0,128.0,27.5,79.0,15.0,48.0,0.12802270738052643,NIEDRIG
46.566466465786434,11.521634676710686,505.0,33.0,10.879166,26.5,-2.4,809.0,96.0,29.5,322.0,13.0,49.0,0.8582607642855961,HOCH
46.75969287038833,11.870043963369994,994.0,26.0,8.329167,23.2,-4.3,824.0,117.0,38.6,234.0,12.0,45.0,0.5968798547021797,MITTEL
46.94767585473534,11.378002835421038,1467.0,19.0,5.712501,19.8,-5.5,916.0,126.0,40.6,54.0,12.0,53.0,0.5364625741355303,MITTEL
46.9473952832723,11.3779352366532,1472.0,19.0,5.712501,19.8,-5.5,916.0,126.0,40.6,58.0,12.0,53.0,0.5348124889466929,MITTEL
46.94709615408428,11.378690394948324,1462.0,22.0,5.712501,19.8,-5.5,916.0,126.0,40.6,54.0,12.0,53.0,0.5419697691978757,MITTEL
46.946773040112575,11.379843171799802,1474.0,25.0,5.712501,19.8,-5.5,916.0,126.0,40.6,330.0,16.0,44.0,0.4005369832435125,MITTEL
46.75993691280068,11.847925174873554,1444.0,34.0,6.8541675,21.0,-4.6,856.0,123.0,41.6,41.0,11.0,47.0,0.6412210238207708,HOCH
46.56029869252121,11.626056480960663,1878.0,25.0,5.545833,19.1,-5.4,795.0,108.0,39.2,121.0,12.0,46.0,0.3413964598272429,MITTEL
46.87445344187565,11.632217912804444,1841.0,42.0,4.9,18.4,-6.1,985.0,136.0,38.2,254.0,11.0,57.0,0.2444447900138735,NIEDRIG
46.48011221071735,11.262021555596016,318.0,15.0,12.454169,28.6,-1.6,860.0,106.0,26.7,107.0,16.0,48.0,0.6623315999427011,HOCH
46.68544408885043,11.857774480107144,1459.0,24.0,6.504167,20.5,-4.8,875.0,124.0,40.9,29.0,13.0,42.0,0.5457377008391272,MITTEL
46.7067818047877,11.92565708488216,1186.0,18.0,7.4625,22.1,-4.8,821.0,115.0,38.8,252.0,19.0,43.0,0.4045879055061225,MITTEL
46.27249442627869,11.257424672285998,1162.0,62.0,10.079166,25.0,-2.2,668.0,79.0,31.7,245.0,20.0,39.0,0.588894009332373,MITTEL
46.708081720083406,11.92627983272834,1223.0,11.0,7.4625,22.1,-4.8,821.0,115.0,38.8,251.0,15.0,47.0,0.34920217535409437,MITTEL
46.55358509632782,11.758732545912777,1579.0,34.0,5.7958336,19.8,-5.7,875.0,120.0,39.6,47.0,12.0,47.0,0.41402225246772817,MITTEL
46.65523772300796,11.90360360247025,1347.0,33.0,7.129167,21.6,-4.9,827.0,116.0,39.9,104.0,19.0,42.0,0.37535782968447773,MITTEL
46.42706997495975,11.347703441683286,440.0,35.0,12.375,28.5,-1.4,865.0,110.0,26.5,309.0,17.0,48.0,0.7537265140382298,HOCH
46.602179328322414,11.200975361133583,320.0,33.0,11.541667,27.5,-2.0,790.0,93.0,28.8,254.0,15.0,49.0,0.8384143288877608,HOCH
46.57658896543343,11.382062629554724,846.0,30.0,10.258333,25.5,-2.4,780.0,95.0,31.6,286.0,17.0,44.0,0.8798366196587751,HOCH
46.593661967163,11.426217980144369,1631.0,16.0,5.470833,18.9,-5.5,688.0,94.0,41.1,286.0,11.0,52.0,0.40506101863055827,MITTEL
46.599732907509264,11.419727224932666,1641.0,35.0,6.0750003,19.8,-5.0,680.0,94.0,42.0,170.0,15.0,46.0,0.5031748629475012,MITTEL
46.57947246653492,11.413999309044732,1552.0,18.0,6.3333335,20.0,-4.7,657.0,90.0,41.7,273.0,11.0,47.0,0.5691354156180312,MITTEL
46.56895393793644,11.404111130242566,1379.0,16.0,7.0750003,21.0,-4.1,655.0,89.0,42.1,199.0,13.0,48.0,0.6677195595502825,HOCH
46.563171896007695,11.388440045121506,1168.0,26.0,8.75,23.4,-3.0,688.0,92.0,39.6,229.0,14.0,49.0,0.7352255650131818,HOCH
46.55797584744096,11.38475725050779,942.0,23.0,9.933333,25.1,-2.5,743.0,93.0,33.6,210.0,17.0,51.0,0.9171306464793674,HOCH
46.29067917124432,11.209115251713408,282.0,29.0,12.729168,28.4,-1.0,881.0,108.0,22.7,102.0,25.0,35.0,0.7266327018734157,HOCH
46.59823943319239,11.547703792171662,590.0,37.0,10.366667,25.8,-2.7,797.0,99.0,31.7,9.0,15.0,52.0,0.8402603688741173,HOCH
46.81995606438851,11.76253150038226,1055.0,8.0,8.3625,23.1,-4.0,860.0,120.0,38.3,331.0,11.0,60.0,0.44826846401828,MITTEL
46.62033102857871,11.556723197137508,848.0,26.0,10.1375,25.5,-2.8,798.0,100.0,32.6,327.0,15.0,46.0,0.9192885484875094,HOCH
46.31551177362087,11.301302511742763,571.0,19.0,10.9375,26.3,-2.0,780.0,93.0,26.9,242.0,22.0,38.0,0.847409017857586,HOCH
46.56778460464475,11.540068770566688,863.0,28.0,9.804168,25.1,-2.9,758.0,97.0,34.0,333.0,14.0,48.0,0.9180861353055861,HOCH
46.577920496571245,11.38305556409154,846.0,16.0,10.258333,25.5,-2.4,780.0,95.0,31.6,263.0,14.0,46.0,0.8218173281561755,HOCH
46.84585337775442,11.977607920007484,1359.0,27.0,6.5249996,20.6,-5.0,916.0,129.0,39.2,175.0,14.0,48.0,0.4316403784049516,MITTEL
46.56351540398156,11.535036509633755,715.0,30.0,9.8375,25.2,-2.9,757.0,96.0,33.6,351.0,18.0,43.0,0.9305401627462447,HOCH
46.577628994736166,11.43701524099499,1553.0,12.0,6.058334,19.7,-5.0,682.0,93.0,40.9,128.0,13.0,47.0,0.4939410561439371,MITTEL
46.59309452609384,11.405581659695024,1433.0,33.0,7.3333335,21.5,-4.1,685.0,93.0,42.1,21.0,15.0,47.0,0.6421291489526214,HOCH
46.59887056218217,11.411622135332376,1546.0,21.0,6.570833,20.5,-4.6,678.0,93.0,41.9,194.0,11.0,53.0,0.6934254814290479,HOCH
46.83778337652303,11.774752995740135,1351.0,24.0,6.85,20.9,-4.5,902.0,127.0,40.2,105.0,13.0,55.0,0.5950642050712874,MITTEL
46.72101069462556,11.328381045912938,1325.0,24.0,6.904167,21.1,-4.6,755.0,104.0,41.7,137.0,12.0,46.0,0.6406404306016491,HOCH
46.72111417785404,11.32990261030352,1280.0,20.0,6.904167,21.1,-4.6,755.0,104.0,41.7,129.0,12.0,46.0,0.6103281789521307,HOCH
46.59728364257735,11.432862241925898,1683.0,19.0,5.470833,18.9,-5.5,688.0,94.0,41.1,224.0,9.0,51.0,0.4399891043346552,MITTEL
46.59965871775758,11.43278984344614,1749.0,25.0,5.470833,18.9,-5.5,688.0,94.0,41.1,139.0,10.0,51.0,0.45949175056061803,MITTEL
46.605993225706406,11.436878943488692,1908.0,12.0,4.1583333,17.0,-6.4,716.0,97.0,36.5,279.0,12.0,48.0,0.22739503814174147,NIEDRIG
46.60144960649895,11.45015609788701,1934.0,10.0,3.6416667,16.3,-6.7,741.0,98.0,33.9,196.0,15.0,46.0,0.17553134225695965,NIEDRIG
46.83717751481528,11.746833948494643,1217.0,17.0,7.5625005,21.9,-4.2,872.0,124.0,40.9,261.0,11.0,57.0,0.6777174466253719,HOCH
46.80178212056506,11.79549913232638,1106.0,23.0,8.641666,23.6,-4.1,846.0,117.0,36.7,50.0,15.0,45.0,0.624663732264564,HOCH
46.651279591892994,11.056340299887038,669.0,26.0,10.929166,26.5,-2.2,774.0,94.0,28.8,312.0,16.0,46.0,0.8735995446752134,HOCH
46.70221017921288,11.620871683956446,1073.0,19.0,8.4375,23.0,-3.6,798.0,108.0,38.7,224.0,16.0,49.0,0.624951040332466,HOCH
46.62652354124516,10.943841935189424,758.0,34.0,10.516666,26.1,-2.5,719.0,89.0,30.6,335.0,17.0,45.0,0.8523827074900346,HOCH
46.52151048099524,11.264253569060376,347.0,33.0,12.312501,28.3,-1.6,861.0,106.0,26.9,213.0,18.0,42.0,0.7311851643380333,HOCH
46.64861464532045,11.854056145315123,1708.0,16.0,5.333334,18.8,-5.7,1001.0,136.0,36.5,146.0,16.0,43.0,0.3264968447327383,MITTEL
46.64787034984689,11.852191378140448,1728.0,9.0,5.333334,18.8,-5.7,1001.0,136.0,36.5,96.0,17.0,43.0,0.31598607772708487,MITTEL
