Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Target,Aspect,Soil_Clay,Soil_Sand
46.70025318766257,12.370473526391768,1615.0,23.0,5,20,-7,1123,152,39,1,161.0,17.0,41.0
46.72475733759582,11.882005300940516,1232.0,36.0,7,21,-5,919,133,45,1,76.0,12.0,44.0
46.52610318791323,11.734756064414018,2698.0,68.0,3,15,-8,1025,136,35,1,79.0,15.0,48.0
46.566466465786434,11.521634676710686,505.0,33.0,10,26,-3,781,101,37,1,322.0,13.0,49.0
46.75969287038833,11.870043963369994,994.0,26.0,8,23,-5,883,126,44,1,234.0,12.0,45.0
46.94767585473534,11.378002835421038,1467.0,19.0,4,18,-7,967,129,37,1,54.0,12.0,53.0
46.9473952832723,11.3779352366532,1472.0,19.0,4,18,-7,967,129,37,1,58.0,12.0,53.0
46.94709615408428,11.378690394948324,1462.0,22.0,4,18,-7,967,129,37,1,54.0,12.0,53.0
46.946773040112575,11.379843171799802,1474.0,25.0,4,19,-7,963,129,37,1,330.0,16.0,44.0
46.75993691280068,11.847925174873554,1444.0,34.0,7,22,-5,905,129,43,1,41.0,11.0,47.0
46.56029869252121,11.626056480960663,1878.0,25.0,6,20,-5,798,115,44,1,121.0,12.0,46.0
46.87445344187565,11.632217912804444,1841.0,42.0,3,16,-7,1102,142,33,1,254.0,11.0,57.0
46.48011221071735,11.262021555596016,318.0,15.0,11,29,-2,787,99,32,1,107.0,16.0,48.0
46.68544408885043,11.857774480107144,1459.0,24.0,6,20,-5,957,141,45,1,29.0,13.0,42.0
46.7067818047877,11.92565708488216,1186.0,18.0,6,21,-6,937,135,44,1,252.0,19.0,43.0
46.27249442627869,11.257424672285998,1162.0,62.0,10,26,-2,655,84,36,1,245.0,20.0,39.0
46.708081720083406,11.92627983272834,1223.0,11.0,6,21,-6,937,135,44,1,251.0,15.0,47.0
46.55358509632782,11.758732545912777,1579.0,34.0,4,18,-6,998,140,40,1,47.0,12.0,47.0
46.65523772300796,11.90360360247025,1347.0,33.0,6,21,-5,905,133,46,1,104.0,19.0,42.0
46.42706997495975,11.347703441683286,440.0,35.0,11,28,-2,735,92,35,1,309.0,17.0,48.0
46.602179328322414,11.200975361133583,320.0,33.0,11,27,-3,755,97,35,1,254.0,15.0,49.0
46.57658896543343,11.382062629554724,846.0,30.0,8,24,-3,697,98,43,1,286.0,17.0,44.0
46.593661967163,11.426217980144369,1631.0,16.0,6,20,-5,703,99,43,1,286.0,11.0,52.0
46.599732907509264,11.419727224932666,1641.0,35.0,6,21,-5,705,100,43,1,170.0,15.0,46.0
46.57947246653492,11.413999309044732,1552.0,18.0,7,22,-4,696,99,44,1,273.0,11.0,47.0
46.56895393793644,11.404111130242566,1379.0,16.0,8,23,-3,693,98,43,1,199.0,13.0,48.0
46.563171896007695,11.388440045121506,1168.0,26.0,8,24,-3,696,97,43,1,229.0,14.0,49.0
46.55797584744096,11.38475725050779,942.0,23.0,9,24,-3,701,97,42,1,210.0,17.0,51.0
46.29067917124432,11.209115251713408,282.0,29.0,11,27,-2,709,88,32,1,102.0,25.0,35.0
46.59823943319239,11.547703792171662,590.0,37.0,9,25,-3,773,105,40,1,9.0,15.0,52.0
46.81995606438851,11.76253150038226,1055.0,8.0,7,23,-4,899,128,43,1,331.0,11.0,60.0
46.62033102857871,11.556723197137508,848.0,26.0,9,25,-3,784,107,40,1,327.0,15.0,46.0
46.31551177362087,11.301302511742763,571.0,19.0,10,26,-3,679,87,35,1,242.0,22.0,38.0
46.56778460464475,11.540068770566688,863.0,28.0,10,25,-3,763,103,40,1,333.0,14.0,48.0
46.577920496571245,11.38305556409154,846.0,16.0,8,24,-3,697,98,43,1,263.0,14.0,46.0
46.84585337775442,11.977607920007484,1359.0,27.0,6,20,-6,999,141,42,1,175.0,14.0,48.0
46.56351540398156,11.535036509633755,715.0,30.0,10,25,-3,766,102,39,1,351.0,18.0,43.0
46.577628994736166,11.43701524099499,1553.0,12.0,6,21,-5,690,99,45,1,128.0,13.0,47.0
46.59309452609384,11.405581659695024,1433.0,33.0,7,22,-4,702,99,44,1,21.0,15.0,47.0
46.59887056218217,11.411622135332376,1546.0,21.0,7,22,-4,704,100,43,1,194.0,11.0,53.0
46.83778337652303,11.774752995740135,1351.0,24.0,5,20,-5,1007,139,39,1,105.0,13.0,55.0
46.72101069462556,11.328381045912938,1325.0,24.0,5,19,-6,744,105,42,1,137.0,12.0,46.0
46.72111417785404,11.32990261030352,1280.0,20.0,5,19,-6,746,105,43,1,129.0,12.0,46.0
46.59728364257735,11.432862241925898,1683.0,19.0,5,19,-5,706,100,43,1,224.0,9.0,51.0
46.59965871775758,11.43278984344614,1749.0,25.0,5,19,-5,706,100,43,1,139.0,10.0,51.0
46.605993225706406,11.436878943488692,1908.0,12.0,4,18,-6,714,100,42,1,279.0,12.0,48.0
46.60144960649895,11.45015609788701,1934.0,10.0,5,19,-6,719,102,42,1,196.0,15.0,46.0
46.83717751481528,11.746833948494643,1217.0,17.0,7,22,-5,940,133,42,1,261.0,11.0,57.0
46.80178212056506,11.79549913232638,1106.0,23.0,7,23,-4,896,128,43,1,50.0,15.0,45.0
46.651279591892994,11.056340299887038,669.0,26.0,9,25,-3,658,91,39,1,312.0,16.0,46.0
46.70221017921288,11.620871683956446,1073.0,19.0,9,24,-4,835,115,41,1,224.0,16.0,49.0
46.62652354124516,10.943841935189424,758.0,34.0,8,23,-4,580,81,39,1,335.0,17.0,45.0
46.52151048099524,11.264253569060376,347.0,33.0,11,28,-2,780,98,32,1,213.0,18.0,42.0
46.64861464532045,11.854056145315123,1708.0,16.0,5,19,-6,1016,145,43,1,146.0,16.0,43.0
